user_id,name,location,genre_preferences,instruments,primary_role,skill_level,years_of_experience,languages,activity,ratings_feedback,privacy_settings
MUS1963,Emma Brown,Los Angeles,"['Jazz', 'Rock']","['Violin', 'Guitar']",Singer,Intermediate,21,"['Japanese', 'French', 'Portuguese']","{'last_login': '2025-02-16', 'total_projects_created': 49, 'songs_uploaded': 73, 'profile_views': 808}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 7', 'Review 31', 'Review 40']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS5911,Ava Johnson,San Francisco,['Pop'],"['Cello', 'Saxophone']",Multi-Instrumentalist,Intermediate,28,['Japanese'],"{'last_login': '2025-02-26', 'total_projects_created': 5, 'songs_uploaded': 33, 'profile_views': 4109}","{'average_collaboration_rating': 3.2, 'reviews': ['Review 55', 'Review 76']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS6767,Ava Johnson,New York,"['Blues', 'Rock']",['Guitar'],Sound Engineer,Advanced,5,"['Japanese', 'Spanish', 'English']","{'last_login': '2025-02-26', 'total_projects_created': 12, 'songs_uploaded': 77, 'profile_views': 4841}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 51']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS1717,Benjamin Miller,Denver,['Jazz'],"['Drums', 'Guitar']",Producer,Advanced,4,['Japanese'],"{'last_login': '2025-02-4', 'total_projects_created': 5, 'songs_uploaded': 11, 'profile_views': 1857}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 2', 'Review 94', 'Review 37']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS6797,William Johnson,Houston,['Pop'],"['Piano', 'Drums']",Lyricist,Intermediate,30,"['Spanish', 'French']","{'last_login': '2025-02-11', 'total_projects_created': 38, 'songs_uploaded': 61, 'profile_views': 101}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 69', 'Review 39', 'Review 69']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS2744,Liam Davis,Houston,"['Rock', 'Pop', 'EDM']","['Drums', 'Guitar']",Multi-Instrumentalist,Intermediate,7,"['Italian', 'Spanish', 'Portuguese']","{'last_login': '2025-02-16', 'total_projects_created': 19, 'songs_uploaded': 60, 'profile_views': 961}","{'average_collaboration_rating': 4.1, 'reviews': ['Review 52', 'Review 43', 'Review 48']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS9361,Ava Garcia,Seattle,"['Blues', 'Reggae', 'EDM']","['Guitar', 'Piano']",Composer,Beginner,16,"['Japanese', 'English', 'German']","{'last_login': '2025-02-9', 'total_projects_created': 40, 'songs_uploaded': 92, 'profile_views': 2365}","{'average_collaboration_rating': 3.9, 'reviews': ['Review 29']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS3010,Isabella Davis,San Francisco,"['EDM', 'Rock']",['Drums'],Composer,Intermediate,23,['Italian'],"{'last_login': '2025-02-25', 'total_projects_created': 2, 'songs_uploaded': 4, 'profile_views': 3909}","{'average_collaboration_rating': 4.2, 'reviews': ['Review 32', 'Review 52']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS5442,Olivia Miller,Denver,"['Hip-Hop', 'Folk']","['Guitar', 'Saxophone']",Singer,Intermediate,12,['German'],"{'last_login': '2025-02-23', 'total_projects_created': 26, 'songs_uploaded': 85, 'profile_views': 4228}","{'average_collaboration_rating': 4.1, 'reviews': ['Review 14', 'Review 84', 'Review 39']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS8400,James Jones,Los Angeles,"['Pop', 'Pop', 'EDM']",['Violin'],Singer,Intermediate,17,"['English', 'Japanese']","{'last_login': '2025-02-2', 'total_projects_created': 25, 'songs_uploaded': 24, 'profile_views': 3249}","{'average_collaboration_rating': 4.4, 'reviews': ['Review 30', 'Review 7']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS9307,Isabella Rodriguez,Austin,"['Jazz', 'Pop']","['Bass', 'Bass']",Singer,Intermediate,1,"['Portuguese', 'French']","{'last_login': '2025-02-4', 'total_projects_created': 25, 'songs_uploaded': 96, 'profile_views': 3177}","{'average_collaboration_rating': 4.3, 'reviews': ['Review 4', 'Review 43', 'Review 6']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS1443,Liam Smith,Boston,"['Jazz', 'Rock']","['Guitar', 'Guitar']",Producer,Professional,13,"['Portuguese', 'Spanish']","{'last_login': '2025-02-9', 'total_projects_created': 16, 'songs_uploaded': 72, 'profile_views': 4534}","{'average_collaboration_rating': 4.8, 'reviews': ['Review 7', 'Review 42']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS4711,Benjamin Brown,Denver,"['Rock', 'EDM', 'Classical']","['Trumpet', 'Bass']",Producer,Professional,27,['German'],"{'last_login': '2025-02-26', 'total_projects_created': 35, 'songs_uploaded': 32, 'profile_views': 3082}","{'average_collaboration_rating': 3.1, 'reviews': ['Review 31', 'Review 87', 'Review 45']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS3081,Ava Garcia,New York,"['Folk', 'Jazz', 'Jazz']",['Cello'],Composer,Intermediate,10,"['Japanese', 'English', 'Italian']","{'last_login': '2025-02-25', 'total_projects_created': 36, 'songs_uploaded': 12, 'profile_views': 4257}","{'average_collaboration_rating': 3.4, 'reviews': ['Review 70', 'Review 79', 'Review 14']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS6009,William Brown,Chicago,"['Jazz', 'Jazz']","['Drums', 'Violin']",Sound Engineer,Intermediate,14,"['French', 'German']","{'last_login': '2025-02-12', 'total_projects_created': 22, 'songs_uploaded': 12, 'profile_views': 1423}","{'average_collaboration_rating': 4.3, 'reviews': ['Review 43', 'Review 62']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS5802,Benjamin Davis,New York,"['Reggae', 'EDM', 'Rock']",['Bass'],Composer,Advanced,8,['English'],"{'last_login': '2025-02-28', 'total_projects_created': 41, 'songs_uploaded': 11, 'profile_views': 4241}","{'average_collaboration_rating': 4.1, 'reviews': ['Review 68', 'Review 41', 'Review 66']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS6426,Benjamin Williams,Miami,"['Pop', 'Rock', 'Pop']",['Guitar'],Sound Engineer,Beginner,7,['English'],"{'last_login': '2025-02-23', 'total_projects_created': 23, 'songs_uploaded': 17, 'profile_views': 2031}","{'average_collaboration_rating': 3.4, 'reviews': ['Review 53', 'Review 69', 'Review 3']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS1568,Ava Williams,Boston,"['Pop', 'Hip-Hop', 'EDM']","['Violin', 'Bass']",Singer,Advanced,20,['German'],"{'last_login': '2025-02-16', 'total_projects_created': 24, 'songs_uploaded': 85, 'profile_views': 2012}","{'average_collaboration_rating': 4.2, 'reviews': ['Review 95', 'Review 67', 'Review 60']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS3337,Sophia Williams,Chicago,['Metal'],"['Piano', 'Drums']",Producer,Advanced,23,['Spanish'],"{'last_login': '2025-02-1', 'total_projects_created': 23, 'songs_uploaded': 51, 'profile_views': 1198}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 100', 'Review 8', 'Review 73']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS5859,Ava Miller,New York,"['Pop', 'Rock', 'Classical']",['Cello'],Producer,Intermediate,9,"['Spanish', 'English']","{'last_login': '2025-02-17', 'total_projects_created': 32, 'songs_uploaded': 8, 'profile_views': 1647}","{'average_collaboration_rating': 3.2, 'reviews': ['Review 8', 'Review 40', 'Review 71']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS3449,Liam Rodriguez,Miami,"['Pop', 'Metal', 'Hip-Hop']","['Guitar', 'Guitar']",Composer,Advanced,4,"['Spanish', 'English', 'German']","{'last_login': '2025-02-28', 'total_projects_created': 11, 'songs_uploaded': 39, 'profile_views': 1367}","{'average_collaboration_rating': 4.5, 'reviews': ['Review 7']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS3490,Sophia Davis,San Francisco,"['Rock', 'Rock']","['Drums', 'Violin']",Multi-Instrumentalist,Advanced,3,"['German', 'French']","{'last_login': '2025-02-25', 'total_projects_created': 17, 'songs_uploaded': 64, 'profile_views': 3730}","{'average_collaboration_rating': 4.5, 'reviews': ['Review 58']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS7147,Noah Garcia,San Francisco,['EDM'],['Violin'],Composer,Advanced,12,"['Spanish', 'Italian']","{'last_login': '2025-02-1', 'total_projects_created': 33, 'songs_uploaded': 31, 'profile_views': 3731}","{'average_collaboration_rating': 4.8, 'reviews': ['Review 87']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS8458,Sophia Rodriguez,Houston,['Classical'],['Drums'],Multi-Instrumentalist,Professional,21,"['French', 'English']","{'last_login': '2025-02-3', 'total_projects_created': 32, 'songs_uploaded': 82, 'profile_views': 3207}","{'average_collaboration_rating': 3.9, 'reviews': ['Review 12']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS9301,Emma Williams,New York,"['Pop', 'Folk', 'Jazz']","['Drums', 'Drums']",Producer,Professional,3,"['French', 'Italian', 'Spanish']","{'last_login': '2025-02-23', 'total_projects_created': 16, 'songs_uploaded': 36, 'profile_views': 3750}","{'average_collaboration_rating': 3.0, 'reviews': ['Review 23', 'Review 17']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS3769,Benjamin Jones,Houston,"['Rock', 'Rock']","['Guitar', 'Drums']",Lyricist,Intermediate,23,"['English', 'Portuguese']","{'last_login': '2025-02-14', 'total_projects_created': 13, 'songs_uploaded': 18, 'profile_views': 4852}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 99', 'Review 89']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS4584,Noah Williams,Chicago,['Rock'],['Guitar'],Singer,Beginner,23,['Portuguese'],"{'last_login': '2025-02-18', 'total_projects_created': 43, 'songs_uploaded': 33, 'profile_views': 4486}","{'average_collaboration_rating': 3.8, 'reviews': ['Review 63', 'Review 33', 'Review 52']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS7342,Sophia Brown,New York,"['EDM', 'Hip-Hop', 'Hip-Hop']","['Piano', 'Guitar']",Composer,Advanced,18,"['Portuguese', 'Japanese']","{'last_login': '2025-02-15', 'total_projects_created': 41, 'songs_uploaded': 46, 'profile_views': 1272}","{'average_collaboration_rating': 3.0, 'reviews': ['Review 13']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS1532,James Rodriguez,Boston,['EDM'],['Piano'],Composer,Advanced,7,"['Japanese', 'German', 'Portuguese']","{'last_login': '2025-02-10', 'total_projects_created': 10, 'songs_uploaded': 44, 'profile_views': 3529}","{'average_collaboration_rating': 4.6, 'reviews': ['Review 2']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS1029,Liam Rodriguez,Houston,['EDM'],['Drums'],Composer,Advanced,1,"['Italian', 'Japanese', 'English']","{'last_login': '2025-02-12', 'total_projects_created': 6, 'songs_uploaded': 34, 'profile_views': 1933}","{'average_collaboration_rating': 3.4, 'reviews': ['Review 73']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS2874,James Davis,Denver,['EDM'],['Guitar'],Composer,Intermediate,12,['Japanese'],"{'last_login': '2025-02-8', 'total_projects_created': 27, 'songs_uploaded': 26, 'profile_views': 4427}","{'average_collaboration_rating': 4.8, 'reviews': ['Review 10', 'Review 1']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS7015,Liam Rodriguez,Boston,"['Folk', 'Jazz', 'Jazz']","['Violin', 'Guitar']",Lyricist,Intermediate,11,['Spanish'],"{'last_login': '2025-02-9', 'total_projects_created': 27, 'songs_uploaded': 97, 'profile_views': 1321}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 41']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS7555,William Williams,Miami,"['Hip-Hop', 'Classical', 'Pop']","['Saxophone', 'Saxophone']",Composer,Professional,20,"['German', 'Japanese', 'Portuguese']","{'last_login': '2025-02-28', 'total_projects_created': 22, 'songs_uploaded': 21, 'profile_views': 2347}","{'average_collaboration_rating': 4.6, 'reviews': ['Review 30']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS9349,James Garcia,San Francisco,['Hip-Hop'],['Bass'],Singer,Intermediate,22,"['Portuguese', 'German']","{'last_login': '2025-02-16', 'total_projects_created': 32, 'songs_uploaded': 15, 'profile_views': 2205}","{'average_collaboration_rating': 4.1, 'reviews': ['Review 79']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS2833,William Johnson,New York,"['EDM', 'Classical']",['Piano'],Sound Engineer,Professional,28,['Italian'],"{'last_login': '2025-02-2', 'total_projects_created': 25, 'songs_uploaded': 11, 'profile_views': 4612}","{'average_collaboration_rating': 4.8, 'reviews': ['Review 28', 'Review 73']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS4186,Benjamin Williams,San Francisco,"['EDM', 'Pop']","['Bass', 'Flute']",Producer,Professional,27,"['English', 'German', 'French']","{'last_login': '2025-02-18', 'total_projects_created': 36, 'songs_uploaded': 76, 'profile_views': 2279}","{'average_collaboration_rating': 4.5, 'reviews': ['Review 54', 'Review 22', 'Review 51']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS7905,James Garcia,Los Angeles,['Hip-Hop'],"['Piano', 'Trumpet']",Producer,Intermediate,10,"['Spanish', 'French', 'Italian']","{'last_login': '2025-02-4', 'total_projects_created': 20, 'songs_uploaded': 3, 'profile_views': 4098}","{'average_collaboration_rating': 4.3, 'reviews': ['Review 44', 'Review 22', 'Review 42']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS6874,Sophia Davis,Miami,"['Jazz', 'Rock', 'EDM']",['Piano'],Singer,Advanced,23,"['Spanish', 'German']","{'last_login': '2025-02-23', 'total_projects_created': 6, 'songs_uploaded': 100, 'profile_views': 3907}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 51']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS6398,William Jones,Houston,"['Rock', 'Jazz', 'Jazz']",['Guitar'],Sound Engineer,Intermediate,25,"['Spanish', 'Japanese']","{'last_login': '2025-02-1', 'total_projects_created': 15, 'songs_uploaded': 76, 'profile_views': 1010}","{'average_collaboration_rating': 3.5, 'reviews': ['Review 51', 'Review 52', 'Review 28']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS5101,Sophia Miller,Los Angeles,"['Jazz', 'Jazz']",['Drums'],Sound Engineer,Intermediate,5,"['German', 'French', 'Japanese']","{'last_login': '2025-02-14', 'total_projects_created': 27, 'songs_uploaded': 86, 'profile_views': 3114}","{'average_collaboration_rating': 4.0, 'reviews': ['Review 22']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS8048,Sophia Williams,San Francisco,"['Reggae', 'Pop']",['Guitar'],Sound Engineer,Professional,19,"['French', 'Japanese', 'Italian']","{'last_login': '2025-02-10', 'total_projects_created': 49, 'songs_uploaded': 82, 'profile_views': 4807}","{'average_collaboration_rating': 3.5, 'reviews': ['Review 89', 'Review 81']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS2549,Sophia Johnson,San Francisco,"['Pop', 'Blues', 'Pop']","['Violin', 'Saxophone']",Composer,Intermediate,22,"['Japanese', 'Portuguese']","{'last_login': '2025-02-6', 'total_projects_created': 24, 'songs_uploaded': 2, 'profile_views': 356}","{'average_collaboration_rating': 4.3, 'reviews': ['Review 87']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS9194,William Garcia,Austin,['Classical'],['Guitar'],Singer,Intermediate,14,['English'],"{'last_login': '2025-02-14', 'total_projects_created': 18, 'songs_uploaded': 99, 'profile_views': 4258}","{'average_collaboration_rating': 3.5, 'reviews': ['Review 95', 'Review 51']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS7857,Benjamin Smith,Miami,"['Blues', 'Pop', 'Jazz']","['Guitar', 'Drums']",Singer,Beginner,23,"['Spanish', 'Japanese', 'Portuguese']","{'last_login': '2025-02-18', 'total_projects_created': 43, 'songs_uploaded': 55, 'profile_views': 568}","{'average_collaboration_rating': 4.3, 'reviews': ['Review 37', 'Review 4', 'Review 60']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS5208,William Williams,Seattle,['Rock'],['Bass'],Sound Engineer,Professional,30,['Spanish'],"{'last_login': '2025-02-23', 'total_projects_created': 31, 'songs_uploaded': 87, 'profile_views': 850}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 50']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS5628,Isabella Martinez,Houston,"['Jazz', 'EDM']","['Drums', 'Piano']",Lyricist,Intermediate,28,['Italian'],"{'last_login': '2025-02-4', 'total_projects_created': 13, 'songs_uploaded': 9, 'profile_views': 3062}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 12', 'Review 69', 'Review 69']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS8085,Olivia Martinez,San Francisco,['Blues'],['Piano'],Sound Engineer,Advanced,11,"['English', 'Spanish', 'Japanese']","{'last_login': '2025-02-22', 'total_projects_created': 46, 'songs_uploaded': 79, 'profile_views': 168}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 35', 'Review 93']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS6517,Olivia Rodriguez,Los Angeles,"['Pop', 'EDM', 'Hip-Hop']",['Trumpet'],Producer,Intermediate,6,"['Portuguese', 'French', 'Italian']","{'last_login': '2025-02-16', 'total_projects_created': 6, 'songs_uploaded': 66, 'profile_views': 3753}","{'average_collaboration_rating': 4.1, 'reviews': ['Review 25']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS6031,Olivia Garcia,Houston,"['Jazz', 'Pop']","['Trumpet', 'Drums']",Multi-Instrumentalist,Professional,18,"['German', 'Portuguese']","{'last_login': '2025-02-6', 'total_projects_created': 19, 'songs_uploaded': 53, 'profile_views': 3766}","{'average_collaboration_rating': 4.9, 'reviews': ['Review 13', 'Review 41']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS3502,William Smith,Austin,['Pop'],['Violin'],Singer,Advanced,14,"['Spanish', 'English', 'Portuguese']","{'last_login': '2025-02-18', 'total_projects_created': 42, 'songs_uploaded': 83, 'profile_views': 4770}","{'average_collaboration_rating': 4.0, 'reviews': ['Review 55']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS9353,Sophia Williams,New York,['Hip-Hop'],['Trumpet'],Lyricist,Intermediate,10,['Japanese'],"{'last_login': '2025-02-14', 'total_projects_created': 38, 'songs_uploaded': 81, 'profile_views': 3196}","{'average_collaboration_rating': 3.1, 'reviews': ['Review 8', 'Review 93', 'Review 72']}","{'data_consent': False, 'profile_visibility': 'Private'}"
